Category: All categories

Week,Go: (Worldwide),C++: (Worldwide),Java: (Worldwide),Python: (Worldwide)
2018-04-22,8,30,100,78
2018-04-29,7,26,87,70
2018-05-06,8,28,97,77
2018-05-13,8,28,99,76
2018-05-20,7,28,98,77
2018-05-27,8,26,97,75
2018-06-03,8,27,99,78
2018-06-10,8,25,92,78
2018-06-17,7,23,90,77
2018-06-24,8,24,91,74
2018-07-01,7,23,89,71
2018-07-08,7,24,92,76
2018-07-15,8,23,96,75
2018-07-22,8,24,92,78
2018-07-29,8,24,92,75
2018-08-05,8,23,92,74
2018-08-12,8,23,85,71
2018-08-19,8,23,89,75
2018-08-26,8,25,90,77
2018-09-02,8,27,93,77
2018-09-09,8,29,93,82
2018-09-16,8,30,99,87
2018-09-23,8,31,100,85
2018-09-30,8,30,95,83
2018-10-07,8,31,98,86
2018-10-14,8,32,99,87
2018-10-21,8,32,98,88
2018-10-28,8,31,95,84
2018-11-04,8,28,88,82
2018-11-11,8,32,96,88
2018-11-18,7,29,92,81
2018-11-25,8,29,96,87
2018-12-02,8,31,95,87
2018-12-09,8,28,91,82
2018-12-16,8,25,85,77
2018-12-23,6,18,61,55
2018-12-30,6,18,64,57
2019-01-06,8,24,84,77
2019-01-13,7,25,86,79
2019-01-20,8,26,87,81
2019-01-27,8,27,90,84
2019-02-03,7,27,91,83
2019-02-10,8,28,92,86
2019-02-17,8,29,92,89
2019-02-24,8,28,90,89
2019-03-03,8,29,91,90
2019-03-10,8,28,89,89
2019-03-17,8,28,89,88
2019-03-24,8,28,90,86
2019-03-31,8,28,91,88
2019-04-07,8,28,91,90
2019-04-14,8,26,87,84
